Motivo del viaje;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
Negocio, motivos profesionales;Gasto total;Dato base;2023;6.452,46
Negocio, motivos profesionales;Gasto total;Tasa de variación anual;2023;17,99
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2023;1.337
Negocio, motivos profesionales;Gasto medio por persona;Tasa de variación anual;2023;7,84
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2023;216
Negocio, motivos profesionales;Gasto medio diario por persona;Tasa de variación anual;2023;6,43
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2023;6,18
Negocio, motivos profesionales;Duración media de los viajes;Tasa de variación anual;2023;1,33
Asistencia a ferias, congresos y convenciones;Gasto total;Dato base;2023;325,19
Asistencia a ferias, congresos y convenciones;Gasto total;Tasa de variación anual;2023;31,58
Asistencia a ferias, congresos y convenciones;Gasto medio por persona;Dato base;2023;1.250
Asistencia a ferias, congresos y convenciones;Gasto medio por persona;Tasa de variación anual;2023;5,38
Asistencia a ferias, congresos y convenciones;Gasto medio diario por persona;Dato base;2023;289
Asistencia a ferias, congresos y convenciones;Gasto medio diario por persona;Tasa de variación anual;2023;-5,58
Asistencia a ferias, congresos y convenciones;Duración media de los viajes;Dato base;2023;4,33
Asistencia a ferias, congresos y convenciones;Duración media de los viajes;Tasa de variación anual;2023;11,61
Trabajador estacional temporero;Gasto total;Dato base;2023;651,74
Trabajador estacional temporero;Gasto total;Tasa de variación anual;2023;114,96
Trabajador estacional temporero;Gasto medio por persona;Dato base;2023;1.503
Trabajador estacional temporero;Gasto medio por persona;Tasa de variación anual;2023;64,53
Trabajador estacional temporero;Gasto medio diario por persona;Dato base;2023;128
Trabajador estacional temporero;Gasto medio diario por persona;Tasa de variación anual;2023;21,44
Trabajador estacional temporero;Duración media de los viajes;Dato base;2023;11,74
Trabajador estacional temporero;Duración media de los viajes;Tasa de variación anual;2023;35,48
Otros motivos de trabajo y negocio;Gasto total;Dato base;2023;5.475,53
Otros motivos de trabajo y negocio;Gasto total;Tasa de variación anual;2023;11,33
Otros motivos de trabajo y negocio;Gasto medio por persona;Dato base;2023;1.325
Otros motivos de trabajo y negocio;Gasto medio por persona;Tasa de variación anual;2023;4,28
Otros motivos de trabajo y negocio;Gasto medio diario por persona;Dato base;2023;232
Otros motivos de trabajo y negocio;Gasto medio diario por persona;Tasa de variación anual;2023;9,49
Otros motivos de trabajo y negocio;Duración media de los viajes;Dato base;2023;5,71
Otros motivos de trabajo y negocio;Duración media de los viajes;Tasa de variación anual;2023;-4,76
Estudios (educación y formación);Gasto total;Dato base;2023;2.500,44
Estudios (educación y formación);Gasto total;Tasa de variación anual;2023;37,08
Estudios (educación y formación);Gasto medio por persona;Dato base;2023;4.383
Estudios (educación y formación);Gasto medio por persona;Tasa de variación anual;2023;-7,24
Estudios (educación y formación);Gasto medio diario por persona;Dato base;2023;102
Estudios (educación y formación);Gasto medio diario por persona;Tasa de variación anual;2023;5,88
Estudios (educación y formación);Duración media de los viajes;Dato base;2023;43,09
Estudios (educación y formación);Duración media de los viajes;Tasa de variación anual;2023;-12,39
Visitas a familiares o amigos;Gasto total;Dato base;2023;4.483,69
Visitas a familiares o amigos;Gasto total;Tasa de variación anual;2023;19,50
Visitas a familiares o amigos;Gasto medio por persona;Dato base;2023;1.075
Visitas a familiares o amigos;Gasto medio por persona;Tasa de variación anual;2023;0,17
Visitas a familiares o amigos;Gasto medio diario por persona;Dato base;2023;112
Visitas a familiares o amigos;Gasto medio diario por persona;Tasa de variación anual;2023;7,04
Visitas a familiares o amigos;Duración media de los viajes;Dato base;2023;9,56
Visitas a familiares o amigos;Duración media de los viajes;Tasa de variación anual;2023;-6,42
Tratamiento de salud voluntario;Gasto total;Dato base;2023;83,59
Tratamiento de salud voluntario;Gasto total;Tasa de variación anual;2023;39,22
Tratamiento de salud voluntario;Gasto medio por persona;Dato base;2023;1.456
Tratamiento de salud voluntario;Gasto medio por persona;Tasa de variación anual;2023;-5,19
Tratamiento de salud voluntario;Gasto medio diario por persona;Dato base;2023;130
Tratamiento de salud voluntario;Gasto medio diario por persona;Tasa de variación anual;2023;-39,25
Tratamiento de salud voluntario;Duración media de los viajes;Dato base;2023;11,22
Tratamiento de salud voluntario;Duración media de los viajes;Tasa de variación anual;2023;56,07
